id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
3VeQpWBinFygQQbubawoOo,0.726,0.716,8,-4.308,1,0.0494,0.575,0,0.197,0.321,122.009
200lsgWiY3PJOvmGeQYJ9H,0.438,0.331,4,-8.824,1,0.0309,0.845,0,0.12,0.27,165.643
1mCsF9Tw4AkIZOjvZbZZdT,0.917,0.588,10,-11.047,1,0.0607,0.195,0,0.0914,0.828,110.077
0LE7qfUeJLORKEVurAvy6u,0.416,0.364,3,-8.251,1,0.0313,0.527,0,0.189,0.204,134.677
31YajbWhSNIvtEyU6lwoSK,0.585,0.501,8,-5.917,1,0.0257,0.792,0,0.143,0.323,84.027
1R6qeTvAvaxB7hydIYVIY8,0.828,0.61,1,-4.23,1,0.0528,0.00544,0,0.158,0.311,126.011
2cKovq3l6OJjhVVDbVKOsr,0.638,0.795,0,-8.45,1,0.302,0.00433,0.00139,0.153,0.31,153.99
3HamD938D1IlQqwJ3sIWAV,0.457,0.336,4,-9.025,1,0.0295,0.796,1.22e-05,0.0945,0.214,133.957
5bfDrSylfOUAlY6e7TSKlL,0.416,0.367,8,-8.759,1,0.0329,0.779,0,0.108,0.205,131.629
3ByN6RduNPNIuQHoPnrpW4,0.592,0.476,11,-6.732,1,0.0365,0.717,0,0.11,0.272,70.046
5gyKkAyLJ3nYBtDsv2kn4O,0.652,0.844,0,-3.715,1,0.041,0.467,0,0.278,0.439,127.972
4TlbZgqxhJ6uN3tpVyjw90,0.655,0.764,11,-3.381,0,0.193,0.0147,8.88e-05,0.0511,0.707,159.017
0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983
2P4OICZRVAQcYAV2JReRfj,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999
6oAHHl93XiWHglVLI4SfBX,0.575,0.713,2,-4.935,1,0.0288,0.563,0,0.119,0.465,106.835
5Jpfcufr0MeBeoZdoKK8uy,0.637,0.906,8,-2.245,1,0.0517,0.719,0,0.091,0.485,112.021
3SXg7A9M3pY2aWYdzQ0BMW,0.314,0.472,3,-6.848,1,0.0331,0.751,0,0.22,0.328,61.561
5TLAKCWzRqi9AY1NdCe0q0,0.667,0.836,4,-2.894,1,0.0454,0.284,0,0.23,0.891,107.984
2fFrL0w67cSMP3ZODlknVH,0.476,0.393,10,-9.339,1,0.0343,0.675,6.51e-05,0.335,0.089,129.859
5aHRqduF38tCov0bFdQqr9,0.459,0.527,8,-6.425,0,0.0314,0.641,0,0.179,0.242,133.762
7KUeY2ZSoG9MC0IdvIYB9B,0.524,0.831,5,-5.984,1,0.0631,0.314,0,0.296,0.573,81.671
2jU0uIIS2kKw4m36cqUU6M,0.464,0.609,0,-6.162,0,0.0379,0.644,0,0.126,0.258,139.655
3BuNRtpDWXJyBHzlitkz4y,0.719,0.792,6,-5.517,1,0.0665,0.0568,0,0.1,0.729,127.947
4RewTiGEGoO7FWNZUmp1f4,0.73,0.784,9,-2.62,1,0.0691,0.191,0,0.0956,0.673,99.995
5rXBmcYNJYMYdhwxlMLh0s,0.549,0.521,6,-6.119,1,0.0374,0.472,1.96e-06,0.0978,0.771,202.017
2j3BmbOK0ZElUhsKH7q7eh,0.626,0.595,0,-4.975,0,0.0288,0.285,0,0.0859,0.65,74.986
3U1TuSqHIubBA10cVP7Sk6,0.632,0.638,7,-6.731,1,0.0505,0.137,0,0.125,0.574,121.868
5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965
4zRZAmBQP8vhNPf9i9opXt,0.607,0.478,1,-5.702,0,0.031,0.649,0,0.0928,0.255,88.979
4IJGV6gw3x5oUiqsvYop5t,0.692,0.69,4,-4.595,1,0.0271,0.588,0,0.176,0.611,104.956
5vLh2E2BqadttPtaylJno1,0.649,0.634,5,-3.226,1,0.0304,0.373,0,0.0853,0.621,103.996
3QfOchoF7CoXL16xebbUUB,0.505,0.316,5,-7.945,0,0.0328,0.426,0,0.146,0.133,116.09
2AGThXjCsZAWYF6gSGhNn4,0.656,0.755,5,-5.815,1,0.0497,0.343,0,0.0768,0.638,92.966
3EcjD8Ue4Dp1BJGxMmFDCz,0.502,0.658,3,-5.971,1,0.0559,0.737,0,0.12,0.486,173.9
5m1s6dtSazjwzSY86gBCyw,0.52,0.797,0,-2.332,0,0.0637,0.0796,0,0.0991,0.248,144.929
7q8GmixMFso1t70ky3qF6Z,0.606,0.681,8,-5.759,1,0.0259,0.35,1.58e-06,0.108,0.5,95.988
1cOwOT7IkFLCiTHeQ9aAqs,0.77,0.453,3,-8.131,1,0.037,0.768,0,0.155,0.478,118.006
74nVCj4vMVemLIs71vXcnP,0.712,0.537,11,-8.964,1,0.0378,0.533,0,0.334,0.218,90.033
5T0DfTfA8LzEAgoERBpuSX,0.578,0.389,7,-8.971,1,0.0313,0.34,0,0.161,0.144,131.961
4T2Hwqz2jrZcjiipwCpKXT,0.497,0.403,4,-9.381,0,0.041,0.477,0,0.216,0.174,132.031
4PJQ5FaGDVmXw6SmZK8Nxl,0.545,0.483,6,-7.803,1,0.041,0.109,0,0.133,0.382,129.88
2oEi9mqbQFJSuS2Wny7bfp,0.565,0.624,2,-5.715,0,0.0297,0.229,4.69e-05,0.124,0.246,103.96
08ypyqiix2pzF6RmOfz7Eq,0.698,0.594,9,-6.137,0,0.0316,0.44,0.000233,0.225,0.359,122.066
0txihk7m8BGrEmXWEVfBFK,0.457,0.417,2,-4.527,1,0.0301,0.725,0,0.264,0.187,139.144
0QkWikH5Z3U0f79T9iuF6c,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.59e-05,0.355,0.535,131.001
1zN6ynJG4PdR61YWv4PQ3Y,0.473,0.871,9,-4.893,1,0.0456,0.0216,0,0.0525,0.47,146.975
67hbP9PFQZrb4XZc3TzB0s,0.694,0.719,6,-12.734,0,0.048,0.47,0.00121,0.44,0.972,126.212
4YeKAwFn69ehnciOfi7Sbf,0.715,0.796,4,-4.889,0,0.0534,0.0284,0,0.0658,0.431,129.04
6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033
4e8HF8QcD4HlfgRT6TGDlO,0.511,0.892,4,-2.489,0,0.0343,0.00138,0.00029,0.198,0.255,99.101
5kPpA4aMFeAQnahSnTIOi4,0.509,0.573,5,-5.29,1,0.0333,0.242,0,0.155,0.305,149.948
6MCjmGYlw6mQVWRFVgBRvB,0.663,0.871,8,-5.287,1,0.03,0.00299,1.8e-06,0.337,0.826,130.025
08YwAPnX8sygJUXG9rvhDv,0.687,0.873,8,-3.852,1,0.0335,0.0545,0,0.318,0.884,130.024
398dL22bDbKbAmiOnPaq7o,0.748,0.661,5,-6.702,1,0.0334,0.157,0.00102,0.101,0.743,90.003
2f8Ew6sB7KHlTiH9NTLvVM,0.809,0.692,1,-9.568,0,0.0473,0.182,0,0.104,0.392,135.012
47UwkrqdE13xHFmn69aAlu,0.478,0.35,7,-9.798,0,0.0311,0.78,0,0.0891,0.32,159.916
5epH8xMDeJ4edJjIkKzEdM,0.361,0.517,10,-6.955,0,0.031,0.711,7.53e-05,0.115,0.308,94.713
4NOZ35Dhucr6UlVyLOtktd,0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002
