id,song,artist,album,popularity,duration,img_url,genres
4Ux83SOG5vqnbohuijD2Zv,Every night,EXID,Every night,45,231105,https://i.scdn.co/image/ab67616d0000b27328bbeb0c155a9c0197876307,"['k-pop', 'k-pop girl group']"
5wzdAEtPFXYmtXncGpJfAs,WHOZ THAT GIRL,EXID,HOLLA,33,210076,https://i.scdn.co/image/ab67616d0000b2731e93409dfd37df184e98598c,"['k-pop', 'k-pop girl group']"
6L8n9QcL7II7Ne5Ah77UDE,Whoz That Girl Part.2,EXID,HIPPITY HOP,14,224809,https://i.scdn.co/image/ab67616d0000b27331a92584a1546eeb9646f4c8,"['k-pop', 'k-pop girl group']"
0tEqHOcQZm1m8prqqXYFSi,Crazy - The Voice Performance,Melanie Martinez,Crazy (The Voice Performance),52,212293,https://i.scdn.co/image/ab67616d0000b2733876b508e3118acb63d6be7d,"['alt z', 'electropop', 'pop']"
1ZLDXa6fRGACA4qYnU6OL1,The Show - The Voice Performance,Melanie Martinez,The Show (The Voice Performance),36,209933,https://i.scdn.co/image/ab67616d0000b27350fcd93e6804df0f672a4d3b,"['alt z', 'electropop', 'pop']"
4wTBwrYUzGmmDpl7ewM8in,Seven Nation Army - The Voice Performance,Melanie Martinez,Seven Nation Army (The Voice Performance),41,175733,https://i.scdn.co/image/ab67616d0000b2736e37897cf3d30d4f762d16b6,"['alt z', 'electropop', 'pop']"
6zs9mJRySWWdCyJacuSvg6,Hit The Road Jack - The Voice Performance,Melanie Martinez,Hit The Road Jack (The Voice Performance),42,164666,https://i.scdn.co/image/ab67616d0000b2730fb787b908a3b8b6436b9d68,"['alt z', 'electropop', 'pop']"
0WNhGqiooqQePeQoeJZQOZ,Toxic - The Voice Performance,Melanie Martinez,Toxic (The Voice Performance),59,229053,https://i.scdn.co/image/ab67616d0000b273b1d2c1cc66c09027ddab07cd,"['alt z', 'electropop', 'pop']"
1Hi3Xq2CGIPNrxgEwc2DRv,Bulletproof - The Voice Performance,Melanie Martinez,Bulletproof (The Voice Performance),39,172560,https://i.scdn.co/image/ab67616d0000b273ae9e46f4553515ae24ee58af,"['alt z', 'electropop', 'pop']"
07vuetHLvR9ezVRq0cJfJn,Lights - The Voice Performance,Melanie Martinez,Lights (The Voice Performance),39,162653,https://i.scdn.co/image/ab67616d0000b273f4344c24cd9a00dbb30049ca,"['alt z', 'electropop', 'pop']"
4RCWB3V8V0dignt99LZ8vH,Hey There Delilah,Plain White T's,All That We Needed,81,232533,https://i.scdn.co/image/ab67616d0000b273beae6e69d6505fd379ef3081,"['neo mellow', 'pop punk', 'pop rock']"
2s5B2qJSK8kbFyFRiRq06b,Hotel Ceiling,Rixton,Let The Road,58,190706,https://i.scdn.co/image/ab67616d0000b273647377a36072bd08e44dd32b,"['pop', 'pop rock', 'post-teen pop', 'viral pop']"
35outke9eJd8O3Re4IdIPS,Heart-breaking,Hwanhee,Orange Marmalade OST Part.1,14,272647,https://i.scdn.co/image/ab67616d0000b2735ba48988a16eb979933a5f34,"['korean ost', 'korean pop']"
70ATm56tH7OrQ1zurYssz0,I Need A Doctor,Dr. Dre,I Need A Doctor,71,283733,https://i.scdn.co/image/ab67616d0000b273d27f8a33b8a8c0417cdca53f,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
6tgaYrOLuLt4QblZaSoZ3Q,I Don’T Like Your Girlfriend,Weki Meki,WEME,26,199757,https://i.scdn.co/image/ab67616d0000b273ec6aad8220f84685ac6124b9,"['k-pop', 'k-pop girl group']"
3Te8uLyit6X3ncNW8Fp3K2,Immortals,Fall Out Boy,American Beauty/American Psycho,74,189386,https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b,"['emo', 'modern rock', 'rock']"
