id,song,artist,album,popularity,duration,img_url,genres
2CgOd0Lj5MuvOqzqdaAXtS,Shelter,Porter Robinson,Shelter,67,218964,https://i.scdn.co/image/ab67616d0000b2730b4df34612f851b639959f9a,"['complextro', 'edm', 'progressive electro house']"
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,86,243836,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,"['rap', 'slap house']"
7dt6x5M1jzdTEt8oCbisTK,Better Now,Post Malone,beerbongs & bentleys,82,231266,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,"['dfw rap', 'melodic rap', 'rap']"
3tm66xqlZjnqJEjt74U7Js,Fuck That Bitch,Horseshoe G.A.N.G.,"Mixtape Monthly, Vol. 4",49,128835,https://i.scdn.co/image/ab67616d0000b273787e4c9163d1264f265e23f6,[]
3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),Post Malone,beerbongs & bentleys,79,221440,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,"['dfw rap', 'melodic rap', 'rap']"
51Fjme0JiitpyXKuyQiCDo,Lalala,Y2K,Lalala,78,160626,https://i.scdn.co/image/ab67616d0000b2738a6ccb507dd6a66f7f6e2440,['pop rap']
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,Sheck Wes,MUDBOY,77,183906,https://i.scdn.co/image/ab67616d0000b27359cd47039c5b10ed919fbaa8,"['rap', 'trap', 'underground hip hop', 'vapor trap']"
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,Championships,81,180522,https://i.scdn.co/image/ab67616d0000b273cd63c5962050729d260077d6,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3s4mrPrEFFPF0LmAfutW0n,The London (feat. J. Cole & Travis Scott),J. Cole,So Much Fun,67,200186,https://i.scdn.co/image/ab67616d0000b2736fcd1b6e205d0d19d9efa0cc,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,i am > i was,79,288624,https://i.scdn.co/image/ab67616d0000b273280689ecc5e4b2038bb5e4bd,"['atl hip hop', 'hip hop', 'rap', 'trap']"
2AiZm17zqkV7llT3SHz4Nu,Bài Này Chill Phết,Đen,Bài Này Chill Phết,55,276000,https://i.scdn.co/image/ab67616d0000b273c04f4282348d4d24de0f7b70,"['indie viet', 'v-pop', 'vietnamese hip hop']"
0ipXEp5M0G5Tr7xx9u1hSY,Nếu Mình Gần Nhau,Đen,Nếu Mình Gần Nhau,39,196062,https://i.scdn.co/image/ab67616d0000b2731e5cb29f38d3f28dc9d356e8,"['indie viet', 'v-pop', 'vietnamese hip hop']"
7GxSshyjKx46dlIV2UoVrc,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,Anh Đếch Cần Gì Nhiều Ngoài Em,51,217133,https://i.scdn.co/image/ab67616d0000b273babcd515ad455b2c49c54c96,"['indie viet', 'v-pop', 'vietnamese hip hop']"
0g1lSO4QxUCoxpVp0xvDmD,Đi Theo Bóng Mặt Trời,Đen,Đi Theo Bóng Mặt Trời,46,162102,https://i.scdn.co/image/ab67616d0000b2732fb6442b420a851093bd3282,"['indie viet', 'v-pop', 'vietnamese hip hop']"
1Axzkl935WrIsBwDqk90yQ,Đưa Nhau Đi Trốn (Chill Version),Đen,Đưa Nhau Đi Trốn (Chill Version),49,241958,https://i.scdn.co/image/ab67616d0000b273e419b5490140a0f4dad08a63,"['indie viet', 'v-pop', 'vietnamese hip hop']"
1ayp8veQBb6NRZepn7ENm6,Lạ Lùng,Vũ.,Lạ Lùng,0,261590,https://i.scdn.co/image/ab67616d0000b273462f6f98268bc98ab778c839,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']"
6v4VmNw4DFlbhuBQ1qFprN,Túy Âm,Masew,Túy Âm,45,202000,https://i.scdn.co/image/ab67616d0000b2731408e9bf3488524d71c2dcbd,['v-pop']
